txn_id,order_date,amount,category,payment_method,device,address_match,customer_tier,customer_age_days,order_velocity,previous_returns,hour,pincode_tier,state,returned
TXN-00001,2025-08-21 08:00,3493.06,Electronics,UPI,Desktop,Same as billing,New,29,9,0,8,Tier-1,Kerala,0
TXN-00002,2025-08-23 15:00,1338.36,Clothing,COD,Desktop,Same as billing,New,43,2,0,15,Metro,Rajasthan,0
TXN-00003,2025-07-15 14:00,18758.39,Clothing,Wallet,Mobile,Same as billing,Loyal,1362,4,0,14,Tier-2,Odisha,0
TXN-00004,2025-06-11 18:00,6106.51,Clothing,COD,Mobile,Same as billing,Loyal,326,10,0,18,Tier-1,Punjab,0
TXN-00005,2025-07-19 10:00,769.53,Beauty,UPI,Desktop,Same as billing,New,72,15,0,10,Tier-3,Rajasthan,0
TXN-00006,2025-08-03 12:00,8751.85,Electronics,UPI,Mobile,Same as billing,Returning,254,3,0,12,Metro,Kerala,0
TXN-00007,2025-06-20 14:00,5118.27,Electronics,Credit Card,Tablet,Different from billing,New,14,11,0,14,Tier-1,Uttar Pradesh,0
TXN-00008,2025-07-14 08:00,1413.98,Toys,COD,Mobile,Same as billing,New,38,14,0,8,Tier-1,Tamil Nadu,0
TXN-00009,2025-06-20 11:00,2692.71,Electronics,Credit Card,Tablet,Same as billing,Loyal,341,2,0,11,Tier-3,Delhi,0
TXN-00010,2025-08-08 16:00,420.76,Home & Kitchen,UPI,Desktop,Different from billing,Loyal,591,12,0,16,Tier-1,Delhi,0
TXN-00011,2025-08-06 12:00,1038.5,Electronics,Debit Card,Mobile,Same as billing,New,4,14,0,12,Metro,Madhya Pradesh,0
TXN-00012,2025-07-06 15:00,917.83,Books,Debit Card,Mobile,Same as billing,New,55,6,0,15,Tier-2,Bihar,0
TXN-00013,2025-06-07 15:00,1334.86,Sports,UPI,Mobile,Same as billing,Returning,107,8,0,15,Tier-1,Rajasthan,0
TXN-00014,2025-07-01 09:00,1741.33,Clothing,UPI,Mobile,Different from billing,Loyal,1046,12,2,9,Tier-3,Telangana,1
TXN-00015,2025-07-08 09:00,484.55,Electronics,Credit Card,Tablet,Different from billing,New,8,10,0,9,Tier-1,Karnataka,0
TXN-00016,2025-08-12 10:00,3014.6,Clothing,Debit Card,Mobile,Different from billing,Returning,435,3,1,10,Tier-3,Delhi,0
TXN-00017,2025-06-10 01:00,3199.51,Electronics,Debit Card,Mobile,Different from billing,Loyal,763,3,1,1,Metro,Gujarat,0
TXN-00018,2025-08-23 13:00,3927.92,Toys,UPI,Desktop,Same as billing,Returning,318,10,1,13,Metro,Assam,0
TXN-00019,2025-07-04 13:00,1219.0,Toys,UPI,Mobile,Same as billing,New,88,15,0,13,Tier-2,Uttar Pradesh,0
TXN-00020,2025-08-14 13:00,1554.87,Clothing,COD,Tablet,Same as billing,New,45,13,0,13,Metro,Gujarat,0
TXN-00021,2025-06-20 19:00,946.6,Beauty,UPI,Mobile,Same as billing,Loyal,1551,14,1,19,Metro,Assam,0
TXN-00022,2025-08-29 08:00,99,Home & Kitchen,Credit Card,Desktop,Same as billing,Returning,101,13,0,8,Metro,Karnataka,0
TXN-00023,2025-08-08 11:00,560.01,Toys,UPI,Mobile,Same as billing,Returning,148,7,0,11,Tier-1,Bihar,0
TXN-00024,2025-06-01 13:00,13562.09,Toys,Net Banking,Mobile,Different from billing,Returning,157,12,0,13,Tier-1,Punjab,1
TXN-00025,2025-08-29 10:00,481.11,Books,Net Banking,Tablet,Same as billing,Loyal,767,4,0,10,Tier-2,Telangana,0
TXN-00026,2025-07-27 15:00,2021.35,Toys,Net Banking,Desktop,Same as billing,Returning,799,4,0,15,Metro,Punjab,0
TXN-00027,2025-06-06 10:00,1286.09,Electronics,Credit Card,Desktop,Same as billing,Returning,701,12,1,10,Metro,Madhya Pradesh,0
TXN-00028,2025-06-29 09:00,12782.24,Electronics,UPI,Desktop,Same as billing,Returning,639,6,1,9,Tier-1,Bihar,0
TXN-00029,2025-08-10 12:00,1195.0,Sports,UPI,Desktop,Same as billing,New,30,5,0,12,Tier-1,Delhi,0
TXN-00030,2025-06-11 08:00,296.59,Beauty,UPI,Mobile,Same as billing,Loyal,1756,10,0,8,Tier-1,Rajasthan,0
TXN-00031,2025-07-16 11:00,223.62,Sports,Debit Card,Desktop,Same as billing,New,62,1,0,11,Tier-2,Assam,0
TXN-00032,2025-07-22 16:00,14082.52,Home & Kitchen,UPI,Mobile,Same as billing,Returning,495,6,1,16,Tier-3,Tamil Nadu,0
TXN-00033,2025-07-24 10:00,747.8,Beauty,Net Banking,Desktop,Different from billing,Returning,159,8,0,10,Tier-3,Delhi,0
TXN-00034,2025-07-03 16:00,316.94,Beauty,UPI,Desktop,Different from billing,Loyal,1567,15,0,16,Tier-3,Maharashtra,1
TXN-00035,2025-08-28 17:00,314.74,Clothing,Net Banking,Desktop,Different from billing,Returning,707,6,0,17,Tier-2,Kerala,1
TXN-00036,2025-07-24 17:00,9223.33,Beauty,Credit Card,Desktop,Different from billing,Loyal,1170,8,1,17,Tier-3,Telangana,1
TXN-00037,2025-07-02 17:00,675.16,Home & Kitchen,Credit Card,Mobile,Same as billing,Returning,378,5,1,17,Tier-3,Tamil Nadu,0
TXN-00038,2025-08-06 20:00,1640.52,Home & Kitchen,Debit Card,Mobile,Same as billing,Returning,343,11,0,20,Tier-2,Maharashtra,0
TXN-00039,2025-08-10 11:00,3206.0,Electronics,UPI,Mobile,Different from billing,Loyal,623,12,0,11,Metro,Uttar Pradesh,0
TXN-00040,2025-06-13 17:00,937.95,Clothing,Net Banking,Mobile,Same as billing,Loyal,1486,14,0,17,Metro,Karnataka,0
TXN-00041,2025-07-31 13:00,1736.85,Home & Kitchen,UPI,Desktop,Different from billing,New,53,10,0,13,Tier-3,Maharashtra,0
TXN-00042,2025-07-19 12:00,778.01,Toys,Credit Card,Desktop,Same as billing,Loyal,612,5,0,12,Tier-2,Madhya Pradesh,0
TXN-00043,2025-06-10 09:00,986.06,Clothing,UPI,Mobile,Same as billing,Loyal,721,13,0,9,Metro,Odisha,0
TXN-00044,2025-08-09 10:00,675.88,Electronics,UPI,Desktop,Same as billing,Returning,509,12,1,10,Tier-2,Odisha,0
TXN-00045,2025-08-03 12:00,11216.77,Beauty,Debit Card,Mobile,Different from billing,Returning,51,13,1,12,Metro,Punjab,0
TXN-00046,2025-06-23 12:00,74335.59,Electronics,Debit Card,Desktop,Same as billing,Returning,716,2,0,12,Tier-1,Maharashtra,0
TXN-00047,2025-07-22 17:00,2184.56,Clothing,Credit Card,Tablet,Different from billing,New,69,8,0,17,Tier-1,Uttar Pradesh,0
TXN-00048,2025-07-17 14:00,1798.02,Electronics,UPI,Mobile,Same as billing,New,80,10,0,14,Metro,Assam,0
TXN-00049,2025-06-02 13:00,8764.27,Electronics,COD,Mobile,Different from billing,Returning,513,4,1,13,Tier-2,Uttar Pradesh,1
TXN-00050,2025-08-16 13:00,201.64,Home & Kitchen,COD,Mobile,Different from billing,Loyal,1531,8,0,13,Tier-3,Telangana,1
TXN-00051,2025-08-10 16:00,99,Books,Wallet,Mobile,Different from billing,New,60,12,0,16,Tier-1,Odisha,0
TXN-00052,2025-08-23 22:00,1790.08,Home & Kitchen,Debit Card,Desktop,Same as billing,Loyal,1659,3,1,22,Tier-3,West Bengal,0
TXN-00053,2025-07-04 11:00,5613.46,Books,COD,Desktop,Same as billing,Loyal,1966,9,0,11,Tier-1,Gujarat,0
TXN-00054,2025-07-07 23:00,4435.89,Electronics,Debit Card,Desktop,Same as billing,New,7,5,0,23,Tier-1,Madhya Pradesh,0
TXN-00055,2025-07-02 13:00,3477.75,Electronics,UPI,Desktop,Same as billing,Returning,502,11,0,13,Tier-2,Delhi,0
TXN-00056,2025-07-30 19:00,2791.22,Clothing,Credit Card,Mobile,Different from billing,Returning,233,7,0,19,Tier-2,Rajasthan,0
TXN-00057,2025-08-13 10:00,5566.47,Electronics,COD,Desktop,Different from billing,Returning,323,13,1,10,Tier-3,Assam,1
TXN-00058,2025-06-25 14:00,6709.76,Home & Kitchen,COD,Desktop,Same as billing,Loyal,1366,6,0,14,Tier-3,Punjab,0
TXN-00059,2025-07-24 09:00,349.3,Toys,Debit Card,Tablet,Different from billing,Loyal,1831,5,1,9,Tier-3,Telangana,0
TXN-00060,2025-06-10 08:00,482.95,Electronics,Debit Card,Mobile,Same as billing,Returning,410,2,0,8,Tier-2,Punjab,0
TXN-00061,2025-08-11 11:00,3439.8,Home & Kitchen,Credit Card,Desktop,Same as billing,Loyal,1188,2,0,11,Tier-2,Maharashtra,0
TXN-00062,2025-07-18 15:00,947.69,Electronics,Credit Card,Mobile,Different from billing,Returning,409,4,0,15,Tier-1,Rajasthan,0
TXN-00063,2025-06-13 22:00,112.37,Beauty,UPI,Mobile,Different from billing,New,82,11,0,22,Tier-3,Odisha,1
TXN-00064,2025-07-13 10:00,308.4,Electronics,COD,Mobile,Same as billing,Loyal,1400,1,1,10,Metro,Odisha,0
TXN-00065,2025-08-09 10:00,250.38,Electronics,UPI,Desktop,Same as billing,Returning,789,7,0,10,Metro,Gujarat,0
TXN-00066,2025-07-17 13:00,357.06,Books,UPI,Desktop,Same as billing,Returning,92,8,0,13,Tier-3,Uttar Pradesh,0
TXN-00067,2025-07-27 07:00,199.7,Electronics,UPI,Desktop,Same as billing,Returning,494,9,0,7,Tier-1,Gujarat,0
TXN-00068,2025-08-23 18:00,3966.67,Clothing,COD,Mobile,Same as billing,New,40,11,0,18,Tier-3,Rajasthan,0
TXN-00069,2025-08-27 19:00,24628.35,Home & Kitchen,Debit Card,Mobile,Same as billing,Loyal,1716,7,0,19,Tier-1,Maharashtra,0
TXN-00070,2025-07-16 08:00,1840.98,Clothing,COD,Mobile,Different from billing,Returning,469,14,3,8,Tier-2,Maharashtra,0
TXN-00071,2025-08-24 17:00,1008.15,Beauty,Credit Card,Mobile,Same as billing,Loyal,470,12,2,17,Metro,Odisha,0
TXN-00072,2025-06-28 11:00,1614.45,Clothing,Credit Card,Tablet,Same as billing,New,6,11,0,11,Tier-2,Assam,0
TXN-00073,2025-07-25 13:00,1534.33,Beauty,UPI,Mobile,Same as billing,Returning,76,4,3,13,Metro,Punjab,1
TXN-00074,2025-07-09 20:00,18651.6,Electronics,UPI,Mobile,Same as billing,Loyal,1324,14,1,20,Tier-1,Tamil Nadu,0
TXN-00075,2025-06-06 12:00,1652.68,Clothing,Credit Card,Mobile,Same as billing,New,21,13,0,12,Tier-2,Telangana,0
TXN-00076,2025-07-17 07:00,4615.63,Home & Kitchen,Debit Card,Mobile,Same as billing,Loyal,1225,11,0,7,Tier-1,Gujarat,0
TXN-00077,2025-07-15 11:00,984.54,Electronics,COD,Mobile,Same as billing,Loyal,1366,8,1,11,Tier-3,Punjab,0
TXN-00078,2025-08-20 11:00,1431.53,Home & Kitchen,COD,Mobile,Same as billing,Returning,407,14,0,11,Tier-1,Maharashtra,0
TXN-00079,2025-08-04 12:00,67047.43,Beauty,UPI,Tablet,Same as billing,Returning,93,8,1,12,Tier-2,Delhi,0
TXN-00080,2025-06-11 13:00,737.98,Clothing,Credit Card,Mobile,Different from billing,Returning,376,11,0,13,Metro,Gujarat,1
TXN-00081,2025-06-13 13:00,1323.2,Sports,Wallet,Desktop,Same as billing,New,39,11,0,13,Metro,Maharashtra,0
TXN-00082,2025-08-30 20:00,964.02,Beauty,COD,Desktop,Different from billing,Loyal,1503,11,0,20,Tier-3,Madhya Pradesh,0
TXN-00083,2025-06-24 20:00,448.85,Clothing,Wallet,Mobile,Same as billing,Loyal,1692,15,0,20,Metro,Bihar,0
TXN-00084,2025-08-19 08:00,1335.5,Sports,COD,Desktop,Same as billing,Returning,273,8,0,8,Metro,West Bengal,0
TXN-00085,2025-07-01 11:00,5982.17,Sports,Credit Card,Tablet,Different from billing,Loyal,1260,7,1,11,Tier-3,West Bengal,0
TXN-00086,2025-06-07 14:00,10187.67,Electronics,COD,Desktop,Same as billing,Returning,180,14,0,14,Metro,Bihar,0
TXN-00087,2025-07-15 19:00,1352.52,Clothing,Credit Card,Mobile,Different from billing,Loyal,866,13,0,19,Metro,Gujarat,0
TXN-00088,2025-07-31 15:00,144.71,Home & Kitchen,UPI,Mobile,Same as billing,Loyal,1260,7,0,15,Metro,Odisha,0
TXN-00089,2025-06-07 10:00,3859.81,Electronics,COD,Mobile,Same as billing,New,37,7,0,10,Tier-1,Punjab,1
TXN-00090,2025-07-24 09:00,3739.54,Electronics,Wallet,Mobile,Same as billing,Returning,74,11,3,9,Tier-2,Uttar Pradesh,0
TXN-00091,2025-07-16 17:00,546.57,Home & Kitchen,COD,Desktop,Same as billing,Returning,209,14,0,17,Tier-1,Karnataka,0
TXN-00092,2025-06-18 06:00,5158.55,Electronics,UPI,Mobile,Same as billing,Returning,586,8,0,6,Metro,Assam,0
TXN-00093,2025-06-07 18:00,1217.8,Clothing,COD,Desktop,Same as billing,New,63,6,0,18,Tier-3,Rajasthan,0
TXN-00094,2025-07-25 07:00,5926.48,Clothing,Credit Card,Mobile,Same as billing,Loyal,1592,8,0,7,Tier-2,Telangana,0
